data,num_var,K,signal,n_train,n_cal,epsilon,nu,contamination,model_name,estimate,seed,Coverage,Size,Label,Method,Guarantee,Alpha,random_state
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.93100,2.25150,marginal,Standard,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.91751,2.36016,0,Standard,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.93939,2.07273,1,Standard,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.95409,2.27745,2,Standard,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.91321,2.29389,3,Standard,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.94250,2.34600,marginal,Adaptive,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.93159,2.41650,0,Adaptive,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.93737,2.18788,1,Adaptive,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.96407,2.38124,2,Adaptive,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.93688,2.39645,3,Adaptive,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.92850,2.16100,marginal,Adaptive optimized,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.90744,2.21730,0,Adaptive optimized,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.93333,2.01212,1,Adaptive optimized,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.95210,2.19561,2,Adaptive optimized,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.92110,2.21696,3,Adaptive optimized,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.92900,2.17050,marginal,Adaptive simplified,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.90946,2.22334,0,Adaptive simplified,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.93333,2.02222,1,Adaptive simplified,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.95210,2.20958,2,Adaptive simplified,marginal,0.10000,1
synthetic1,10,4,1,1000,1000,0.10000,0.20000,RRB,RFC,none,1,0.92110,2.22485,3,Adaptive simplified,marginal,0.10000,1
